searched_item,location,item_found
Farofa Simples,Setor 3,True
Tiramisu,Setor 1,True
Spaghetti à Bolonhesa,Setor 3,False
Burrito de Frango,Setor 4,True
Lagosta Grelhada,Setor 2,False
Arroz de Pato,Setor 2,True
Pizza Margherita,Setor 2,True
Linguado com Trufas,Setor 2,False
Soufflé de Chocolate,Setor 2,False
Pizza de Calabresa,Setor 1,False
Abacaxi Grelhado,Setor 3,True
Kafta,Setor 1,False
Abacaxi Grelhado,Setor 4,True
Fettuccine Alfredo,Setor 4,False
Pizza Margherita,Setor 1,False
Panna Cotta,Setor 4,False
Paella Valenciana,Setor 3,True
Ostras Frescas,Setor 3,False
Temaki de Caviar,Setor 3,False
Feijão Preto,Setor 3,True
Pizza de Calabresa,Setor 2,False
Cordeiro Assado,Setor 2,False
Esfiha de Carne,Setor 3,True
Risoto de Funghi,Setor 2,False
Tabule,Setor 3,True
Pizza Portuguesa,Setor 3,False
Arroz com Feijão,Setor 3,False
Polenta Cremosa,Setor 3,False
Linguado com Trufas,Setor 1,True
Tabule,Setor 3,True
Pizza de Calabresa,Setor 2,False
Picanha,Setor 2,False
Moussaka,Setor 1,False
Feijão Preto,Setor 4,False
Nachos com Guacamole,Setor 2,False
Fettuccine Alfredo,Setor 3,False
Esfiha Doce,Setor 4,True
Soufflé de Chocolate,Setor 2,False
Polvo Grelhado,Setor 4,False
Pappardelle ao Ragu de Cordeiro,Setor 1,True
Polenta Cremosa,Setor 4,False
King Crab,Setor 1,True
Costela com Mandioca,Setor 4,False
Linguiça Artesanal,Setor 1,False
Filé Mignon com Foie Gras,Setor 4,False
Frango à Milanesa,Setor 2,False
Macarrão ao Sugo,Setor 3,False
Farofa Simples,Setor 4,False
Pappardelle ao Ragu de Cordeiro,Setor 2,False
Ribeye Black Angus,Setor 2,False
Chili com Carne,Setor 2,False
Abacaxi Grelhado,Setor 2,False
Frango Grelhado,Setor 1,False
Tacos de Carne,Setor 3,False
Linguiça Artesanal,Setor 2,False
Abacaxi Grelhado,Setor 4,True
Temaki de Caviar,Setor 3,False
Arroz Branco,Setor 2,False
Nigiri de Uni,Setor 1,False
Kafta,Setor 1,False
Risoto de Funghi,Setor 2,False
Esfiha de Carne,Setor 1,False
Polenta Cremosa,Setor 3,False
Esfiha de Carne,Setor 2,False
Cachorro-Quente,Setor 1,False
Soufflé de Chocolate,Setor 1,True
Tabule,Setor 2,False
Abacaxi Grelhado,Setor 3,True
Nachos com Guacamole,Setor 4,True
Alcatra na Brasa,Setor 3,True
Tataki de Wagyu,Setor 2,True
Ribeye Black Angus,Setor 2,False
Soufflé de Chocolate,Setor 1,True
Fraldinha,Setor 4,True
Ratatouille,Setor 1,True
Chateaubriand,Setor 2,False
Fettuccine Alfredo,Setor 2,True
Pizza de Frango com Catupiry,Setor 1,False
Pizza de Chocolate,Setor 2,False
Pizza de Chocolate,Setor 3,False
Feijão Preto,Setor 1,False
Caviar com Blinis,Setor 3,False
Polvo à Lagareiro,Setor 3,True
Pizza de Calabresa,Setor 4,True
Burrito de Frango,Setor 2,False
Abacaxi Grelhado,Setor 2,False
Arroz com Feijão,Setor 3,False
Alcatra na Brasa,Setor 4,True
Ravioli de Ricota e Espinafre,Setor 1,True
Linguado com Trufas,Setor 3,False
Kafta,Setor 2,False
Cordeiro Assado,Setor 3,True
Arroz Branco,Setor 2,False
Fraldinha,Setor 1,False
Temaki de Caviar,Setor 2,True
Caviar com Blinis,Setor 1,True
Tomahawk,Setor 3,False
Gnocchi ao Sugo,Setor 3,False
Risoto de Camarão,Setor 4,False
Polvo Grelhado,Setor 4,False
Alcatra na Brasa,Setor 3,True
Costelão,Setor 4,True
Chili com Carne,Setor 3,False
Sashimi de Toro,Setor 2,True
Pappardelle ao Ragu de Cordeiro,Setor 4,False
Pappardelle ao Ragu de Cordeiro,Setor 1,True
Moqueca de Peixe,Setor 4,False
Risoto de Funghi,Setor 2,False
Prime Rib Dry Aged,Setor 2,False
Polvo à Lagareiro,Setor 1,False
Homus,Setor 3,True
Lagosta Grelhada,Setor 1,True
Bife Acebolado,Setor 4,True
Churros,Setor 4,True
Coq au Vin,Setor 1,True
Gnocchi ao Sugo,Setor 4,False
Spaghetti à Bolonhesa,Setor 3,False
Risoto de Camarão,Setor 3,False
Risoto de Funghi,Setor 4,False
Chili com Carne,Setor 1,False
Ratatouille,Setor 1,True
Moqueca de Peixe,Setor 2,True
Linguiça Artesanal,Setor 3,True
Pizza de Muçarela,Setor 4,True
Salada Simples,Setor 1,False
Frango à Milanesa,Setor 3,False
Polenta Cremosa,Setor 3,False
Tabule,Setor 2,False
Paella Valenciana,Setor 2,False
Cordeiro Assado,Setor 1,False
Picanha,Setor 4,True
Caviar com Blinis,Setor 3,False
Ratatouille,Setor 1,True
Salada Grega,Setor 3,True
Bouillabaisse,Setor 1,True
Alcatra na Brasa,Setor 2,False
Linguiça Artesanal,Setor 2,False
Tomahawk,Setor 4,False
Spaghetti à Bolonhesa,Setor 3,False
Lagosta Grelhada,Setor 4,False
Cordeiro Assado,Setor 3,True
Baklava,Setor 3,True
Baklava,Setor 4,False
Cachorro-Quente,Setor 4,False
Pizza de Calabresa,Setor 2,False
Fraldinha,Setor 3,True
Bife Acebolado,Setor 1,False
Tataki de Wagyu,Setor 3,False
Gelatina,Setor 1,False
Esfiha Doce,Setor 4,True
Salada Simples,Setor 3,False
Quesadilla,Setor 3,False
Batata Frita,Setor 2,True
Picanha,Setor 1,False
Bobó de Camarão,Setor 3,False
Nigiri de Uni,Setor 2,True
Gelatina,Setor 3,True
Salada Simples,Setor 1,False
Homus,Setor 1,False
Omelete,Setor 1,False
Abacaxi Grelhado,Setor 3,True
Sushi de Enguia,Setor 2,True
Pappardelle ao Ragu de Cordeiro,Setor 1,True
Pizza de Calabresa,Setor 3,False
Spaghetti à Bolonhesa,Setor 4,False
Wagyu,Setor 2,False
Tataki de Wagyu,Setor 4,False
Quesadilla,Setor 1,False
Costelão,Setor 2,False
Tacos de Carne,Setor 1,False
Coq au Vin,Setor 1,True
Bife Acebolado,Setor 4,True
Arroz de Pato,Setor 4,False
Pudim de Leite,Setor 1,False
Tomahawk,Setor 4,False
Nachos com Guacamole,Setor 1,False
Macarrão ao Sugo,Setor 3,False
Moussaka,Setor 1,False
Lagosta Grelhada,Setor 2,False
Macarrão ao Sugo,Setor 2,False
Wagyu,Setor 4,False
Lagosta Grelhada,Setor 3,False
